Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
CMS,WEC,0.034554,1,0.933,0.9836
ES,WEC,0.039002,2,0.9291,0.9684
CMS,XEL,0.045558,3,0.9445,0.9094
CMS,ES,0.05286,4,0.9059,0.9153
ES,XEL,0.062458,5,0.8926,0.8513
ED,PNW,0.067208,6,0.9111,0.8549
PPL,WEC,0.07459,7,0.8738,0.8593
WEC,XEL,0.083167,8,0.8726,0.7967
DUK,WEC,0.092852,9,0.8634,0.9719
EVRG,WEC,0.094491,10,0.9108,1.1567
ALL,CB,0.095044,11,0.9411,0.9165
DTE,PEG,0.097731,12,0.8711,0.7413
ES,EVRG,0.101814,13,0.9278,0.7607
DUK,ES,0.106106,14,0.818,0.8833
ES,PPL,0.10965,15,0.7839,0.8198
CMS,PPL,0.111972,16,0.8073,0.8518
MAC,SPG,0.115068,17,0.9381,1.0525
CMS,DUK,0.118171,18,0.8213,0.7724
DTE,WEC,0.119837,19,0.9383,0.9883
CMS,DTE,0.125579,20,0.9294,0.9284
