Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
ES,NEE,0.071963,1,0.9775
EQR,UDR,0.08415,2,0.9037
ED,SO,0.084487,3,0.9379
DTE,ES,0.088096,4,0.986
DTE,KMB,0.092979,5,0.9828
AVB,EQR,0.095404,6,0.8759
NEE,PNW,0.096754,7,0.9666
ESS,MAA,0.097809,8,0.871
ES,PNW,0.099805,9,0.9675
CCK,MRSH,0.105087,10,0.9518
EVRG,WEC,0.105095,11,0.9654
DOC,VTR,0.106999,12,0.9894
D,DUK,0.110645,13,0.9539
ADP,GL,0.111019,14,0.9734
CMS,DTE,0.113022,15,0.9826
USB,XOM,0.114273,16,0.869
DTE,NEE,0.115309,17,0.9828
AEE,PEG,0.122341,18,0.9286
PAYX,PPL,0.125063,19,0.9416
AXP,MAC,0.126172,20,0.9418
