Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
CMS,XEL,0.046635,1,0.9901
AEP,CMS,0.048936,2,0.9861
CB,EG,0.05499,3,0.9717
SLG,VNO,0.061876,4,0.9875
AME,LIN,0.090261,5,0.7908
KIM,LNT,0.091894,6,0.9696
LNT,PPL,0.09356,7,0.9724
CMS,PCG,0.094547,8,0.9716
AEP,XEL,0.097626,9,0.9799
EVRG,NEE,0.098468,10,0.9651
FRT,SPG,0.09992,11,0.9804
AEP,PCG,0.10055,12,0.9706
AVB,EQR,0.102738,13,0.9885
EQR,ESS,0.10342,14,0.9891
CL,MKC,0.105998,15,0.8543
DUK,PNW,0.112249,16,0.9515
ES,XEL,0.112297,17,0.9568
FITB,RF,0.114603,18,0.8952
AEE,WEC,0.116626,19,0.9481
CMS,DTE,0.118461,20,0.9775
