Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
ATO,CMS,0.045936,1,0.9807
AVB,UDR,0.061614,2,0.9195
ED,WEC,0.07341,3,0.9715
CMS,WEC,0.073454,4,0.9813
DTE,PNW,0.099015,5,0.9641
AEP,DUK,0.102481,6,0.9672
DUK,XEL,0.103073,7,0.9732
KIM,REG,0.114036,8,0.9687
SRE,XEL,0.115906,9,0.9524
CMS,ED,0.133107,10,0.9703
EXPD,UPS,0.135189,11,0.9667
AON,MRSH,0.139321,12,0.9783
BRK-B,L,0.144407,13,0.9612
AON,CDNS,0.14462,14,0.9736
L,WRB,0.146021,15,0.9725
ED,XEL,0.147598,16,0.9799
NEE,PCG,0.147928,17,0.9586
D,MO,0.149815,18,0.9079
CMS,NEE,0.151584,19,0.9371
ATO,WEC,0.153804,20,0.9585
