Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
CMS,WEC,0.07026,1,0.9943
CMS,PNW,0.082629,2,0.9907
PNW,WEC,0.085311,3,0.9895
WEC,XEL,0.087802,4,0.9929
AEP,ETR,0.103991,5,0.9871
CL,PEP,0.10689,6,0.9684
AEP,ED,0.117326,7,0.9867
AEE,PNW,0.122741,8,0.9879
CMS,XEL,0.129617,9,0.9982
ETR,XEL,0.129639,10,0.9883
BRK-B,L,0.130135,11,0.9155
PNC,WFC,0.130346,12,0.9347
PNW,XEL,0.131789,13,0.9899
AEE,CMS,0.131885,14,0.9896
ALL,CL,0.134945,15,0.9491
JPM,USB,0.135841,16,0.952
AEE,XEL,0.138615,17,0.9897
AEP,NEE,0.140672,18,0.9903
AIV,CPT,0.149698,19,0.967
GPC,MMM,0.15084,20,0.974
