Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
EQR,ESS,0.053338,1,0.9941
AEP,LNT,0.05786,2,0.9857
FRT,SPG,0.079673,3,0.99
ES,XEL,0.084354,4,0.9836
ES,WEC,0.090157,5,0.9793
GL,LIN,0.101183,6,0.6724
KEY,TFC,0.109205,7,0.8384
CB,EG,0.111463,8,0.9466
GE,GL,0.11422,9,0.6624
CPRT,RTX,0.114848,10,0.9083
AON,JKHY,0.116354,11,0.9461
FITB,ZION,0.11695,12,0.9191
DUK,ED,0.118089,13,0.9888
PNC,USB,0.118722,14,0.933
KMB,UPS,0.119412,15,0.9167
CL,MKC,0.120246,16,0.8645
EVRG,LNT,0.121341,17,0.9851
DTE,LNT,0.122464,18,0.9757
FITB,RF,0.12326,19,0.9343
GL,IEX,0.123626,20,0.8807
