Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
AEP,XEL,0.070167,1,0.9571,0.9383
AEE,XEL,0.075428,2,0.9642,0.8504
CL,KO,0.105544,3,0.8634,0.8851
EVRG,LNT,0.111502,4,0.9358,0.8315
AEP,ETR,0.113672,5,0.9266,1.0035
CMS,WEC,0.113759,6,0.9252,0.991
LNT,WEC,0.120143,7,0.9499,1.0399
AEE,AEP,0.124964,8,0.9247,0.8279
CMS,EXC,0.144426,9,0.9042,0.9351
BRK-B,ROP,0.151813,10,0.9404,0.9041
CMS,LNT,0.155243,11,0.9386,0.9173
CMS,DUK,0.172785,12,0.9447,0.9111
CMS,EVRG,0.184578,13,0.9314,1.0142
KMB,PG,0.186954,14,0.9739,1.1255
EVRG,WEC,0.18899,15,0.9035,0.8795
BRK-B,MRSH,0.190285,16,0.9188,0.9916
RSG,WM,0.195299,17,0.9203,1.2176
AEE,CNP,0.195416,18,0.9497,1.0011
ETR,XEL,0.196724,19,0.8723,0.791
PAYX,UNP,0.202029,20,0.8991,0.9394
