Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
CMS,D,0.119508,1,0.8749,0.9903
AEE,LNT,0.139037,2,0.9594,0.7898
CAG,GIS,0.168377,3,0.8344,0.9136
NI,SRE,0.18314,4,0.9359,1.1313
CCI,PLD,0.183306,5,0.9661,0.9528
ESS,UDR,0.185601,6,0.9918,0.9539
ED,WEC,0.185726,7,0.8646,0.8585
MDLZ,PEP,0.189675,8,0.8942,0.9764
CHD,MKC,0.198298,9,0.8505,0.7293
ITW,SJM,0.206438,10,0.9416,0.8721
IEX,MDT,0.211469,11,0.9635,1.0113
CAG,CPB,0.228613,12,0.751,0.7716
PNW,SRE,0.229954,13,0.8875,1.0268
DTE,ITW,0.230263,14,0.9536,1.0307
AEE,CMS,0.231074,15,0.8236,0.9978
AEP,CMS,0.23447,16,0.8518,0.8996
AVB,UDR,0.237691,17,0.9922,0.878
CMS,XEL,0.239334,18,0.9356,0.8359
DTE,EVRG,0.243182,19,0.9617,0.8094
HSY,RSG,0.243475,20,0.9497,0.8988
