Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
DUK,WEC,0.056354,1,0.9459
DUK,SO,0.060559,2,0.9419
CMS,EVRG,0.063041,3,0.9508
WEC,XEL,0.068856,4,0.9286
ED,SO,0.074426,5,0.9755
DUK,XEL,0.080851,6,0.9122
PNW,WEC,0.083806,7,0.9338
SO,WEC,0.084365,8,0.9154
DUK,PNW,0.094299,9,0.948
KMB,NEE,0.097434,10,0.8895
AEE,AEP,0.128356,11,0.8189
DUK,ED,0.129679,12,0.9437
NI,PSA,0.131578,13,0.9678
PNW,XEL,0.134408,14,0.9365
CL,MDLZ,0.134924,15,0.9414
EVRG,LNT,0.135524,16,0.9413
MAA,UDR,0.142849,17,0.9637
RSG,SRE,0.149596,18,0.8626
O,VTR,0.151583,19,0.8138
PG,XEL,0.152652,20,0.7599
