Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
CMS,DUK,0.047409,1,0.9846,1.0887
AVB,EQR,0.066197,2,0.9968,1.0438
AEE,XEL,0.073671,3,0.9708,0.9357
AEE,DUK,0.086497,4,0.9578,0.8503
RSG,WM,0.086702,5,0.9598,0.9386
AVB,UDR,0.088924,6,0.9902,0.9861
MCO,SPGI,0.090354,7,0.9746,1.0174
WEC,XEL,0.095833,8,0.9574,0.9707
AME,ETN,0.104152,9,0.9618,1.0021
CPT,UDR,0.107044,10,0.9902,0.9975
AEE,WEC,0.112456,11,0.9356,0.8889
DHI,LEN,0.114042,12,0.9702,1.0422
MLM,VMC,0.117416,13,0.9453,0.9215
AVB,CPT,0.136849,14,0.98,0.9709
AEE,EIX,0.138814,15,0.9399,0.8118
AEE,ETR,0.139998,16,0.9187,0.9341
ES,LNT,0.145171,17,0.9223,0.9041
CNP,ED,0.150899,18,0.9484,0.9097
ES,EVRG,0.158377,19,0.9265,0.9459
ETR,XEL,0.159899,20,0.9069,0.8571
