Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
AEP,DTE,0.094769,1,0.9765,1.0806
ETR,SO,0.096229,2,0.9559,0.8908
DUK,LNT,0.101245,3,0.9111,0.9516
AEE,PEG,0.104537,4,0.9509,0.8015
CMS,D,0.108678,5,0.9455,1.0186
DTE,SO,0.116131,6,0.9481,0.8903
FRT,REG,0.121404,7,0.9469,0.8263
D,DTE,0.136266,8,0.9542,0.8309
AEP,SO,0.137831,9,0.9459,0.9855
AEE,EVRG,0.14728,10,0.8832,0.9103
ITW,PH,0.149245,11,0.8804,0.966
AEE,ETR,0.152565,12,0.9572,0.7766
CAG,CPB,0.155784,13,0.8698,0.848
WEC,XEL,0.15684,14,0.9154,0.8847
CMS,WEC,0.161447,15,0.9282,1.1593
AEE,SO,0.16195,16,0.9648,0.7319
FITB,KEY,0.16384,17,0.9739,0.9433
L,MET,0.171848,18,0.922,0.8517
MRSH,RSG,0.173142,19,0.9625,0.9482
DTE,ETR,0.174336,20,0.9099,0.9119
