Ticker_A,Ticker_B,SSD,Hedge_Ratio,Rank,Mean_A,Std_A,Mean_B,Std_B
C,KEY,3.355356,0.9933,1,52.34771727758741,10.06815185248496,12.049593910338386,2.4374325143261975
FRT,REG,3.60301,0.9928,2,91.1608570189703,17.02512397791619,46.167328895084445,8.159117528480694
HBAN,USB,4.269295,0.9915,3,9.478207595764644,1.8447199491976694,38.408065962413,7.028546901964942
USB,WFC,4.815769,0.9904,4,38.408065962413,7.028546901964942,37.39193573452177,7.99664937690641
DVN,EOG,4.878127,0.9902,5,14.771750345116569,4.682569403954495,52.587711213127015,12.332890418725166
RF,TFC,5.244998,0.9895,6,10.962312685118782,2.0554519168047243,35.51030401199583,6.291843559736494
AIV,AVB,5.270227,0.9894,7,2.3156506272535475,0.3340663371431134,160.77666079808796,19.22712095388137
BAC,JPM,5.46232,0.9891,8,24.71826419754634,3.755464286611682,97.24619202386765,13.754675414386455
KEY,RF,5.512983,0.989,9,12.049593910338386,2.4374325143261975,10.962312685118782,2.0554519168047243
HBAN,RF,6.097149,0.9878,10,9.478207595764644,1.8447199491976694,10.962312685118782,2.0554519168047243
FITB,RF,6.120605,0.9877,11,19.989734925921002,4.025544073329104,10.962312685118782,2.0554519168047243
C,COF,6.215554,0.9875,12,52.34771727758741,10.06815185248496,76.93235274723598,15.056845057828124
KEY,TFC,6.284868,0.9874,13,12.049593910338386,2.4374325143261975,35.51030401199583,6.291843559736494
AVB,UDR,6.343432,0.9873,14,160.77666079808796,19.22712095388137,35.43948309762137,3.695140516422604
COF,KEY,6.383864,0.9872,15,76.93235274723598,15.056845057828124,12.049593910338386,2.4374325143261975
FITB,KEY,6.400434,0.9872,16,19.989734925921002,4.025544073329104,12.049593910338386,2.4374325143261975
BXP,SLG,6.765919,0.9864,17,91.55568369608076,14.031882524368944,50.8896865239219,11.121598289563563
PRU,UNM,6.907752,0.9861,18,60.09641534563095,12.023371150510307,20.576171405731685,5.081581964528027
FLS,PRU,7.065653,0.9858,19,36.88780283549475,8.68208699889317,60.09641534563095,12.023371150510307
FITB,MGM,7.162299,0.9856,20,19.989734925921002,4.025544073329104,25.67082350594657,6.92748336327026
