Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
AEP,XEL,0.02852,1,0.9962
WEC,XEL,0.036315,2,0.994
CMS,FE,0.045415,3,0.9868
AIV,UDR,0.052085,4,0.9867
AVB,EQR,0.054978,5,0.9876
ATO,LNT,0.056161,6,0.9831
AEP,ES,0.065941,7,0.9912
AEP,WEC,0.085159,8,0.9873
AEE,CMS,0.092887,9,0.9892
CMS,NEE,0.095943,10,0.9902
ES,XEL,0.09729,11,0.9887
AEE,FE,0.10134,12,0.9803
CMS,DTE,0.110847,13,0.985
MAA,SRE,0.117387,14,0.9721
ES,WEC,0.123096,15,0.9847
MCO,SPGI,0.125101,16,0.9828
DTE,LNT,0.130296,17,0.9801
DTE,PEG,0.135551,18,0.9564
AVB,LNT,0.138215,19,0.9518
DTE,NEE,0.139251,20,0.9742
