Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
CMS,FE,0.061269,1,0.9243,0.9384
ETR,PPL,0.087949,2,0.9222,0.8184
CNP,LNT,0.097676,3,0.9198,0.8587
CMS,NI,0.098805,4,0.8682,1.0132
CMS,PPL,0.101522,5,0.9234,0.7768
MCO,SPGI,0.102992,6,0.9861,1.0401
ED,NI,0.103898,7,0.8482,0.8049
CNP,SRE,0.105719,8,0.8326,0.8497
ED,LNT,0.108715,9,0.8599,0.7718
FE,NI,0.144473,10,0.8118,0.9368
CMS,ED,0.145297,11,0.8517,1.0485
CNP,DTE,0.146429,12,0.8599,0.6381
FE,PPL,0.150485,13,0.8897,0.7394
DUK,ETR,0.154939,14,0.8218,0.7541
LNT,NI,0.158859,15,0.8729,0.9194
ED,ETR,0.161306,16,0.8027,0.6182
AEE,EXC,0.166627,17,0.9343,1.1262
ED,PPL,0.168454,18,0.858,0.5848
CPT,MAA,0.171974,19,0.9575,0.8994
CMS,ETR,0.17825,20,0.8296,0.7863
