Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
CPT,EQR,0.089571,1,0.9612,1.1104
ED,SO,0.098813,2,0.9606,0.8397
PNW,XEL,0.098882,3,0.982,1.0322
EVRG,LNT,0.099282,4,0.9518,0.8872
DTE,PNW,0.104827,5,0.9712,0.9958
CMS,DTE,0.108787,6,0.9834,1.0825
CMS,WEC,0.111337,7,0.9818,0.9202
VTR,WELL,0.11229,8,0.9739,0.94
DTE,XEL,0.113554,9,0.9632,1.0391
AEE,SO,0.119348,10,0.9483,0.988
CMS,XEL,0.120375,11,0.9809,1.1642
MKC,NEE,0.12318,12,0.9677,0.9323
DTE,EIX,0.129983,13,0.9757,0.847
DTE,LLY,0.135216,14,0.9601,1.1175
LNT,MDLZ,0.138794,15,0.938,0.9986
DUK,SO,0.140963,16,0.9799,1.2232
FRT,O,0.142942,17,0.9802,0.811
AEE,ED,0.147557,18,0.9423,1.1226
MMM,SYK,0.148487,19,0.9323,0.8732
AON,L,0.157974,20,0.8425,0.9146
