Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
ES,WEC,0.077165,1,0.9809
ADP,CVX,0.157357,2,0.9599
EIX,EVRG,0.177736,3,0.9676
EVRG,WEC,0.27521,4,0.9607
PCG,XEL,0.276082,5,0.9561
CLX,SRE,0.278425,6,0.9573
CLX,LH,0.28011,7,0.9382
ROL,T,0.284188,8,0.8934
DUK,SYY,0.293502,9,0.9512
ERIE,JNJ,0.293778,10,0.9291
PEG,PPL,0.298998,11,0.886
EIX,JNJ,0.302174,12,0.9594
BMY,ED,0.305158,13,0.9682
AEP,PNW,0.312378,14,0.9733
ES,EVRG,0.31578,15,0.9645
ACGL,PG,0.319361,16,0.9428
DUK,XEL,0.322499,17,0.9561
AEP,D,0.324756,18,0.9536
D,ES,0.333615,19,0.9454
ATO,GPC,0.35641,20,0.9462
