Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
EMR,ITT,0.151439,1,0.9852,0.9876
DHR,TMO,0.199109,2,0.9927,1.0171
AME,APH,0.208023,3,0.9842,0.9188
CMS,LNT,0.218358,4,0.9492,0.7897
MDLZ,PEP,0.219651,5,0.9041,1.051
AVB,ESS,0.243639,6,0.9618,0.9429
AZO,ORLY,0.249594,7,0.9658,0.7953
FHN,KEY,0.268823,8,0.9883,1.0779
AFL,BAC,0.272029,9,0.9605,0.9915
MTB,RTX,0.284091,10,0.9683,1.0078
FIS,MRSH,0.285438,11,0.9213,0.7789
RSG,WM,0.297915,12,0.965,1.0682
CB,TRV,0.302586,13,0.961,1.0749
PRU,TFC,0.305977,14,0.9675,1.0078
MRSH,WTW,0.306618,15,0.9209,1.1757
AME,EL,0.309846,16,0.9782,1.0469
NTRS,STT,0.313004,17,0.9369,0.8136
FITB,RF,0.316569,18,0.9874,1.035
EMR,NUE,0.317092,19,0.9635,1.05
ES,WEC,0.317533,20,0.8534,0.878
