Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
ETR,PPL,0.084285,1,0.989,0.9751
CMS,FE,0.084386,2,0.9867,1.0024
CMS,DTE,0.089274,3,0.9734,0.9404
ATO,ED,0.135197,4,0.9279,0.9905
EIX,NI,0.135277,5,0.9732,1.013
CMS,KO,0.150359,6,0.9592,0.9107
EVRG,LNT,0.152313,7,0.9446,1.0059
CAG,GIS,0.16048,8,0.9107,1.0204
ITW,SNA,0.168864,9,0.8671,0.8916
DTE,FE,0.171479,10,0.955,0.9997
CPT,UDR,0.172135,11,0.9778,1.1222
AEP,ETR,0.175762,12,0.9835,1.1656
ATO,LNT,0.1824,13,0.9311,0.8491
MAA,UDR,0.184642,14,0.9562,0.8698
FE,PPL,0.185308,15,0.9824,0.8233
DTE,KO,0.186794,16,0.9522,0.9346
MCD,MDLZ,0.189436,17,0.8811,1.0895
ED,LNT,0.209336,18,0.9219,0.7901
DUK,SO,0.211131,19,0.9732,0.8605
DUK,PPL,0.211875,20,0.9707,0.9986
