Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
CMS,DTE,0.070643,1,0.9737,0.9151
AVB,UDR,0.075242,2,0.9787,0.9877
CMS,D,0.090913,3,0.948,1.0231
AEE,PEG,0.098316,4,0.9527,0.8104
ETR,SO,0.100482,5,0.9589,0.8867
D,DTE,0.11322,6,0.9557,0.8288
DUK,JNJ,0.117509,7,0.9114,1.0559
FRT,REG,0.128585,8,0.9369,0.8136
AEE,LNT,0.150118,9,0.9064,1.0468
ITW,PH,0.151744,10,0.8811,0.9587
BRK-B,TRV,0.156804,11,0.9562,1.0804
AEP,SO,0.163681,12,0.9502,0.9861
ES,LNT,0.168138,13,0.8391,0.8528
CMS,DUK,0.173581,14,0.9392,1.1697
ED,NI,0.17792,15,0.9682,1.017
AMT,EQIX,0.178869,16,0.9433,0.9731
L,MET,0.18072,17,0.9204,0.8666
CMS,SO,0.182699,18,0.9661,0.8433
AEE,EVRG,0.183771,19,0.886,0.9283
D,DUK,0.190544,20,0.9037,1.038
