Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
AEP,ED,0.038648,1,0.9605
DTE,ED,0.041856,2,0.9724
DUK,PNW,0.044882,3,0.9802
AEP,DTE,0.044919,4,0.9657
DTE,ES,0.0521,5,0.9163
AEP,CMS,0.054126,6,0.9437
CMS,DTE,0.058293,7,0.9301
CMS,XEL,0.064922,8,0.9646
AEP,XEL,0.067604,9,0.9724
ED,ES,0.072589,10,0.9335
VTR,WELL,0.083824,11,0.9942
CMS,ED,0.085476,12,0.9121
ED,XEL,0.087412,13,0.961
DUK,ED,0.091853,14,0.9424
DTE,XEL,0.093809,15,0.9729
DUK,NI,0.097332,16,0.9208
NI,PNW,0.097698,17,0.9283
AIV,EQR,0.098301,18,0.9225
LNT,WEC,0.099342,19,0.9123
CMA,RF,0.102249,20,0.993
