Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
CMS,XEL,0.037375,1,0.9846,1.0251
DTE,LNT,0.056746,2,0.9783,0.9619
ED,PNW,0.074545,3,0.8507,0.7526
CMS,ES,0.075043,4,0.9738,1.0759
EQR,UDR,0.082231,5,0.969,1.001
DTE,WEC,0.083431,6,0.9717,1.0276
ES,XEL,0.091225,7,0.9822,0.9243
AEP,NEE,0.103401,8,0.9782,1.0293
MAA,UDR,0.105398,9,0.9734,0.942
DTE,PPL,0.111274,10,0.9643,1.0321
MAA,SPG,0.114091,11,0.9587,0.977
KIM,REG,0.11815,12,0.9327,0.9441
EVRG,LNT,0.121516,13,0.9658,1.0124
LNT,PPL,0.12382,14,0.9616,1.0397
FRT,SLG,0.124202,15,0.9688,0.8698
EQR,MAA,0.125927,16,0.9658,1.0292
LNT,WEC,0.127961,17,0.9539,1.0272
LEG,SPG,0.131046,18,0.9468,0.8277
ALL,JNJ,0.133729,19,0.9382,0.93
ESS,MAA,0.134024,20,0.9784,1.1412
