Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
CMS,DTE,0.064219,1,0.9153,0.9871
AVB,UDR,0.089906,2,0.9886,1.0109
AEP,DTE,0.101683,3,0.9186,1.0446
CMS,SO,0.108717,4,0.9007,0.769
AEE,PEG,0.109146,5,0.8982,0.7739
AEP,CMS,0.133159,6,0.886,0.9364
AEE,DUK,0.141168,7,0.8803,0.8406
DTE,SO,0.14633,8,0.8618,0.6834
PEG,SO,0.157077,9,0.9088,0.8938
AEP,SO,0.176101,10,0.8442,0.7608
CAG,CPB,0.183446,11,0.9078,0.8102
AEE,CMS,0.186043,12,0.8399,0.8333
MRSH,RSG,0.186787,13,0.9796,1.0142
AEE,SO,0.188661,14,0.9105,0.7707
EQR,ESS,0.193936,15,0.951,0.9802
DTE,XEL,0.195249,16,0.7417,0.6736
EME,J,0.195398,17,0.8328,0.7269
KO,MDLZ,0.199255,18,0.8997,1.0579
DUK,EVRG,0.204966,19,0.8427,0.6953
D,WEC,0.205685,20,0.7333,0.7666
