Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
CMS,PNW,0.039315,1,0.9853
CMS,DUK,0.040421,2,0.9932
LNT,WEC,0.042852,3,0.9892
CMS,ED,0.04487,4,0.9903
DUK,SRE,0.055572,5,0.9779
ATO,ED,0.065346,6,0.9796
ES,PNW,0.06605,7,0.9887
DUK,PNW,0.075376,8,0.9823
CMS,ES,0.075401,9,0.9917
DTE,WEC,0.077093,10,0.971
ED,ES,0.081755,11,0.9871
ATO,CMS,0.082371,12,0.9773
ED,PNW,0.082516,13,0.9768
DTE,LNT,0.084151,14,0.979
DUK,LNT,0.09024,15,0.9809
CMS,SRE,0.092696,16,0.98
PNW,SRE,0.096559,17,0.9839
ATO,NI,0.098607,18,0.9874
ATO,PNW,0.098973,19,0.9721
DUK,ED,0.099447,20,0.9914
