Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
CMS,WEC,0.066086,1,0.9558
PNW,WEC,0.069214,2,0.9639
CMS,PNW,0.084148,3,0.9536
DUK,SO,0.098732,4,0.9804
EVRG,XEL,0.105113,5,0.9313
ES,NEE,0.109268,6,0.8636
LNT,PNW,0.112445,7,0.9645
WEC,XEL,0.126498,8,0.9658
CMS,XEL,0.126965,9,0.9719
CMS,EVRG,0.136138,10,0.9456
ABT,MDLZ,0.138676,11,0.9477
AEP,XEL,0.141112,12,0.9145
KIM,REG,0.142181,13,0.9664
O,VTR,0.145825,14,0.791
LLY,MDLZ,0.156553,15,0.9277
PNC,TFC,0.159477,16,0.9673
DTE,LNT,0.159637,17,0.9308
EVRG,WEC,0.168814,18,0.924
CL,MDLZ,0.169445,19,0.9291
DTE,MO,0.172063,20,0.9474
