Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
ED,XEL,0.099929,1,0.9741
ACGL,CLX,0.137256,2,0.9174
CLX,CPB,0.144057,3,0.9061
EIX,ETR,0.147193,4,0.8181
ATO,EIX,0.15153,5,0.724
EVRG,NI,0.176343,6,0.9727
ES,WEC,0.177382,7,0.9683
FMC,NKE,0.178854,8,0.9501
ACGL,BALL,0.189821,9,0.9202
HRL,MKC,0.190612,10,0.9385
ES,EVRG,0.196495,11,0.9728
KO,SRE,0.198578,12,0.8298
AEP,ED,0.198584,13,0.9314
CMS,PNW,0.198702,14,0.9694
AME,D,0.199602,15,0.961
KO,T,0.206276,16,0.8406
DUK,PCG,0.218242,17,0.8852
SPG,VNO,0.219202,18,0.9851
MMM,WM,0.222015,19,0.8896
ESS,UDR,0.224531,20,0.989
