Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
EVRG,PNW,0.061024,1,0.9796
ED,SO,0.062969,2,0.9229
ES,WEC,0.079381,3,0.9845
PCG,XEL,0.088781,4,0.9558
ES,EVRG,0.098804,5,0.9834
ES,PNW,0.102384,6,0.9811
DUK,PNW,0.108625,7,0.9531
DUK,ES,0.113596,8,0.9634
AEP,XEL,0.122028,9,0.9359
PEG,XEL,0.129386,10,0.9437
DUK,PPL,0.134706,11,0.9283
DUK,EVRG,0.136747,12,0.9569
BDX,BRK-B,0.137535,13,0.9849
CMS,LNT,0.137682,14,0.963
DTE,PFE,0.141023,15,0.9551
AEP,EIX,0.14218,16,0.9244
DTE,WEC,0.144683,17,0.9879
EIX,XEL,0.145722,18,0.9002
FITB,WFC,0.148009,19,0.9778
JCI,ZBH,0.149371,20,0.9686
