Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
CMS,XEL,0.038757,1,0.9978
DTE,PCG,0.046634,2,0.9889
ED,WEC,0.067141,3,0.9887
ETR,XEL,0.07575,4,0.9835
AEE,XEL,0.08589,5,0.9877
CMS,PNW,0.087337,6,0.9899
PNW,XEL,0.097781,7,0.9893
APD,LIN,0.100958,8,0.9627
BK,NTRS,0.106662,9,0.9549
AEE,AEP,0.107482,10,0.9789
AEP,ED,0.110038,11,0.9866
AEE,CMS,0.111256,12,0.9879
AEE,ETR,0.11764,13,0.978
CMS,ETR,0.119286,14,0.983
AEP,WEC,0.123593,15,0.9875
LNT,NI,0.124292,16,0.9881
FHN,TFC,0.124632,17,0.9528
GPC,MMM,0.127113,18,0.9718
NEE,PNW,0.12738,19,0.9866
BRK-B,L,0.128455,20,0.9126
