Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
CMS,FE,0.047414,1,0.961,1.0129
CMS,DTE,0.073935,2,0.9535,0.853
CPT,UDR,0.079233,3,0.9658,0.9186
ED,SRE,0.093013,4,0.8657,0.8037
CNP,ED,0.100477,5,0.8615,0.9502
AEP,PPL,0.106081,6,0.9461,0.9948
PCG,SRE,0.113978,7,0.885,1.0242
DTE,FE,0.122234,8,0.9106,1.0685
ATO,CNP,0.128822,9,0.7957,0.6881
MAA,UDR,0.13261,10,0.939,0.8396
CNP,SRE,0.140208,11,0.8399,0.8558
ATO,ED,0.143342,12,0.7606,0.7214
LNT,WEC,0.149923,13,0.9091,0.7896
CMS,CNP,0.152154,14,0.8755,1.1335
DTE,PPL,0.157488,15,0.9293,0.8468
ETR,PPL,0.157544,16,0.9527,0.9788
MCD,MDLZ,0.157694,17,0.8577,1.0373
ED,FE,0.157936,18,0.8678,0.6429
ED,NI,0.161156,19,0.8802,0.6371
PNW,WEC,0.161565,20,0.8611,1.1711
