Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
BXP,SLG,0.066773,1,0.9802,1.0145
ES,WEC,0.076554,2,0.9773,0.9033
HBAN,PNC,0.081856,3,0.9809,1.1283
DUK,FE,0.085716,4,0.9558,0.8748
BRK-B,CB,0.086109,5,0.8785,0.834
EIX,LNT,0.087181,6,0.949,0.897
FITB,RF,0.092355,7,0.9291,0.9419
AEE,EIX,0.099406,8,0.9423,0.9837
ATO,NEE,0.10007,9,0.9319,1.0162
EVRG,LNT,0.10812,10,0.9566,1.0439
DTE,EVRG,0.111588,11,0.9604,0.7585
RJF,TFC,0.111721,12,0.9113,0.9715
BLK,ITW,0.11344,13,0.9454,1.0521
PNW,WEC,0.113829,14,0.9751,1.0662
AEP,LNT,0.115675,15,0.9651,0.8407
D,PPL,0.116097,16,0.867,1.0246
MRSH,WFC,0.117366,17,0.9005,0.8875
KIM,O,0.118227,18,0.9595,0.8839
EIX,EVRG,0.122055,19,0.9524,0.8245
AEE,EVRG,0.122063,20,0.9575,0.8637
