Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
WEC,XEL,0.0593,1,0.9554
ED,WEC,0.069746,2,0.9625
SO,WEC,0.073851,3,0.965
PNW,SO,0.075347,4,0.9471
ED,SO,0.081335,5,0.977
EVRG,PNW,0.084332,6,0.9498
ED,PNW,0.088889,7,0.968
DUK,SO,0.096764,8,0.966
DUK,PNW,0.097245,9,0.9722
ED,LNT,0.113846,10,0.9552
PNW,WEC,0.116596,11,0.9477
D,DTE,0.117273,12,0.9333
ED,EVRG,0.128149,13,0.95
ED,XEL,0.129666,14,0.9352
AVB,EQR,0.13274,15,0.9862
EVRG,SO,0.138913,16,0.9213
DTE,NEE,0.1436,17,0.9399
DUK,EVRG,0.145647,18,0.9517
SO,XEL,0.146616,19,0.9412
AEE,XEL,0.154684,20,0.885
