Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
DOC,VTR,0.033947,1,0.9901
CMS,DTE,0.069404,2,0.9702
ESS,MAA,0.073246,3,0.882
PCG,SO,0.077802,4,0.866
D,DUK,0.08855,5,0.9117
ED,SO,0.106285,6,0.9501
EVRG,LNT,0.120205,7,0.9012
DTE,PNW,0.121451,8,0.9493
BDX,DHR,0.126485,9,0.9449
ARE,SLG,0.126983,10,0.8613
CL,PEP,0.128826,11,0.9316
PEG,SO,0.129174,12,0.8048
ATO,PNW,0.133158,13,0.9757
PAYX,PPL,0.136843,14,0.9054
CNP,XEL,0.144125,15,0.8313
AEE,PEG,0.145273,16,0.8347
CL,DTE,0.146179,17,0.9437
PEP,PNW,0.147598,18,0.9349
ADP,CTAS,0.148265,19,0.9098
D,XEL,0.149902,20,0.8759
