Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
ES,PNW,0.046886,1,0.9859,0.8544
DTE,WEC,0.051233,2,0.9873,1.0588
EVRG,WEC,0.072729,3,0.9829,1.0562
DUK,ES,0.087693,4,0.9551,0.9844
L,LIN,0.110991,5,0.9216,0.9634
ES,PEG,0.113504,6,0.9555,0.8095
AVB,EQR,0.115311,7,0.8087,0.7827
EVRG,PNW,0.116778,8,0.9748,1.0368
ES,EVRG,0.118828,9,0.982,0.8007
ACGL,CINF,0.123329,10,0.975,0.9666
PEG,PNW,0.124809,11,0.9454,0.9712
ES,PPL,0.129545,12,0.9289,1.0795
T,XEL,0.129858,13,0.9407,0.8237
DUK,PNW,0.134538,14,0.9473,0.8466
KO,SYY,0.137816,15,0.9161,0.8991
JNJ,SJM,0.141225,16,0.9856,1.1088
LNT,PEP,0.145867,17,0.9655,0.8981
PCG,XEL,0.147115,18,0.9301,1.0551
AON,MRSH,0.147396,19,0.9815,1.0385
CMS,LNT,0.150304,20,0.9528,0.9002
