Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
D,ED,0.083363,1,0.9307,0.8149
ADP,XOM,0.104388,2,0.9469,0.9488
DUK,SO,0.111541,3,0.9485,1.1389
AVB,CPT,0.135945,4,0.9742,0.8613
CMS,DTE,0.13664,5,0.9789,0.9265
D,JNJ,0.139205,6,0.8342,0.7953
CMS,EIX,0.140594,7,0.9621,0.9478
CMS,PNW,0.141719,8,0.9578,0.925
CMS,ES,0.146325,9,0.9507,0.9895
EVRG,XEL,0.156789,10,0.9669,0.9642
AEE,XEL,0.162224,11,0.9258,0.7274
CMS,LNT,0.163626,12,0.9601,1.2158
ABT,MKC,0.165022,13,0.9814,0.947
DTE,ES,0.165848,14,0.9697,1.0671
CL,KO,0.166532,15,0.9564,1.0055
MO,NEE,0.168296,16,0.9818,1.0883
AMT,FRT,0.168864,17,0.9804,0.9768
CL,KMB,0.171655,18,0.9673,0.828
HSY,KMB,0.178545,19,0.9791,1.0667
DTE,PNW,0.181823,20,0.9741,0.9919
