Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
DUK,SO,0.060813,1,0.9529,0.8918
PNW,WEC,0.076924,2,0.9208,1.0778
AVB,EQR,0.090477,3,0.9811,0.9786
DTE,PNW,0.092183,4,0.9486,1.179
CMS,EVRG,0.096018,5,0.9301,0.9415
CMS,PNW,0.119867,6,0.9,0.875
DUK,WEC,0.123342,7,0.9192,1.1494
WEC,XEL,0.124619,8,0.9177,1.1067
AEP,XEL,0.13879,9,0.8338,1.1298
AVB,ESS,0.144785,10,0.9842,0.8484
EVRG,LNT,0.148036,11,0.9212,0.7336
AEP,JNJ,0.149094,12,0.8581,0.8067
PNW,XEL,0.151788,13,0.9163,1.299
CMS,WEC,0.152429,14,0.8406,0.9522
RSG,SRE,0.156689,15,0.8496,1.1854
ADP,IFF,0.159032,16,0.9678,0.8824
MMM,PGR,0.169465,17,0.9125,1.0173
NEE,XEL,0.169607,18,0.818,1.1379
CMS,DUK,0.170737,19,0.8406,0.7692
SO,WEC,0.174994,20,0.8897,1.1869
