Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
CMS,WEC,0.032057,1,0.9865
DUK,SO,0.06183,2,0.984
CMS,PNW,0.078377,3,0.975
ED,SO,0.086658,4,0.9648
CMS,XEL,0.087816,5,0.9727
PNW,XEL,0.093169,6,0.9698
DTE,EIX,0.098443,7,0.953
PNW,WEC,0.100062,8,0.9588
WEC,XEL,0.106786,9,0.9599
DTE,EVRG,0.110369,10,0.944
LNT,XEL,0.114085,11,0.9398
DTE,NEE,0.114249,12,0.9418
MRK,PFE,0.118181,13,0.9697
LNT,WEC,0.119565,14,0.9676
MKC,NEE,0.120529,15,0.9321
LNT,PNW,0.122812,16,0.97
CAH,COR,0.123049,17,0.8624
CB,WRB,0.123528,18,0.9689
DTE,LLY,0.123534,19,0.9438
EVRG,LLY,0.130093,20,0.9172
