Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
AEP,XEL,0.015035,1,0.9899
AEP,DUK,0.028943,2,0.9887
AIV,AVB,0.03875,3,0.9813
CMS,WEC,0.044638,4,0.9787
DUK,XEL,0.049395,5,0.9768
AVB,UDR,0.059123,6,0.9794
AIV,UDR,0.061132,7,0.9825
DTE,WEC,0.071683,8,0.9773
EQR,UDR,0.074709,9,0.9665
AIV,EQR,0.077254,10,0.9589
DTE,ES,0.077986,11,0.952
ATO,EVRG,0.078822,12,0.9655
DUK,PNW,0.079663,13,0.9499
CMS,LNT,0.095216,14,0.9685
AVB,EQR,0.098528,15,0.9526
CPT,EQR,0.104122,16,0.9489
AEE,ATO,0.115787,17,0.9724
AVB,MAA,0.115867,18,0.9541
CMS,DTE,0.127049,19,0.9459
LNT,WEC,0.129714,20,0.9299
