Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
CMS,LNT,0.060738,1,0.9862
HBAN,TFC,0.068103,2,0.9764
AVB,UDR,0.074826,3,0.9612
AEE,DTE,0.077118,4,0.9576
CMS,ES,0.108452,5,0.9826
AEE,ATO,0.118634,6,0.956
ES,LNT,0.126187,7,0.977
AEE,ED,0.126869,8,0.9565
AEP,LNT,0.134748,9,0.9764
GL,PNC,0.145131,10,0.9743
AEP,CMS,0.145865,11,0.9707
ATO,ED,0.14626,12,0.9442
JPM,PNC,0.155761,13,0.984
ETR,SO,0.166252,14,0.9907
CPT,EQR,0.182211,15,0.9627
EVRG,KO,0.189077,16,0.9414
PSA,YUM,0.189723,17,0.9615
ES,FE,0.190179,18,0.9781
AIV,UDR,0.191939,19,0.9415
AEP,XEL,0.196031,20,0.9835
