Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
D,WEC,0.055105,1,0.9803
EVRG,PNW,0.0675,2,0.9824
PEG,XEL,0.093932,3,0.9716
RTX,TT,0.097733,4,0.9864
CMS,DTE,0.09877,5,0.9887
AVB,EQR,0.110173,6,0.8085
ES,EVRG,0.115499,7,0.9734
SO,T,0.116275,8,0.8799
DUK,PPL,0.121792,9,0.9502
BRK-B,POOL,0.122123,10,0.986
CL,WEC,0.130088,11,0.954
DUK,WEC,0.13362,12,0.959
FITB,WFC,0.136473,13,0.9795
BXP,EQR,0.137123,14,0.7916
FRT,SO,0.138878,15,0.8275
PNW,WEC,0.140488,16,0.9776
L,LIN,0.14207,17,0.8799
MET,PRU,0.142304,18,0.9935
ES,PNW,0.14241,19,0.9688
CPT,MAA,0.144082,20,0.8966
