Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
CMS,ES,0.05538,1,0.9297
DTE,WEC,0.05676,2,0.9587
ES,WEC,0.06025,3,0.9292
PPL,WEC,0.064073,4,0.9214
ES,EVRG,0.065675,5,0.9467
EVRG,WEC,0.072589,6,0.9302
DTE,PPL,0.074699,7,0.9214
CMS,WEC,0.077194,8,0.9297
DTE,ES,0.096136,9,0.9116
PEG,WEC,0.100746,10,0.9294
CMS,XEL,0.10428,11,0.9586
ES,PPL,0.104475,12,0.8477
PCG,SO,0.10789,13,0.9428
KIM,REG,0.110374,14,0.9267
ADP,PAYX,0.111055,15,0.9762
CMS,DTE,0.117049,16,0.9498
ESS,UDR,0.117305,17,0.9461
CMS,PPL,0.118328,18,0.8565
CMS,EVRG,0.123364,19,0.8831
KIM,SPG,0.123365,20,0.9036
