Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
AVB,ESS,0.036169,1,0.9769
EVRG,XEL,0.062825,2,0.9471
LNT,XEL,0.091375,3,0.908
AEE,PEG,0.098667,4,0.8635
DUK,XEL,0.100727,5,0.9059
D,ED,0.104551,6,0.8744
DUK,SO,0.105035,7,0.8933
ADP,XOM,0.106909,8,0.9181
CMS,DTE,0.126693,9,0.97
CPT,MAA,0.126877,10,0.9378
AVB,EQR,0.128088,11,0.9376
ADP,PAYX,0.128265,12,0.9301
EQR,UDR,0.128378,13,0.9278
MMM,PAYX,0.135432,14,0.9031
EVRG,LNT,0.140772,15,0.8875
CL,DTE,0.149076,16,0.957
BRK-B,JNJ,0.149637,17,0.908
DUK,LNT,0.151142,18,0.8056
LNT,SO,0.151209,19,0.842
CLX,CMS,0.151255,20,0.919
