Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
DTE,WEC,0.051731,1,0.9743
AIV,AVB,0.052045,2,0.9845
AEP,XEL,0.055787,3,0.987
ATO,EXC,0.06527,4,0.9689
AEE,CMS,0.071202,5,0.9796
ATO,EVRG,0.07803,6,0.9572
CPT,UDR,0.079309,7,0.9624
DUK,PNW,0.080166,8,0.944
EQR,MAA,0.080413,9,0.9522
AEP,WEC,0.087134,10,0.9297
AIV,CPT,0.08764,11,0.957
AVB,MAA,0.090613,12,0.9646
CMS,WEC,0.096869,13,0.9758
AEP,ES,0.100057,14,0.9097
EVRG,EXC,0.100856,15,0.9565
AEP,DTE,0.101101,16,0.9444
AEP,LNT,0.104018,17,0.9063
CMS,DTE,0.106399,18,0.9408
LNT,WEC,0.106595,19,0.9123
DTE,ES,0.108627,20,0.9383
