Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
PNC,USB,0.055394,1,0.9343
EQR,ESS,0.059633,2,0.9922
SLG,VNO,0.06985,3,0.9867
AVB,EQR,0.075335,4,0.9904
AEP,XEL,0.082412,5,0.9833
CMS,XEL,0.092078,6,0.9939
AVB,ESS,0.094727,7,0.9893
BXP,KIM,0.095749,8,0.9848
AEP,CMS,0.096245,9,0.9857
DTE,LNT,0.099989,10,0.9793
CB,EG,0.105393,11,0.9601
EVRG,XEL,0.112978,12,0.9747
ESS,UDR,0.1193,13,0.9874
FITB,ZION,0.119463,14,0.9212
CMS,KIM,0.121992,15,0.9788
CB,ITW,0.125022,16,0.9488
ACGL,TROW,0.127226,17,0.7658
DHR,JKHY,0.131708,18,0.913
GL,IEX,0.131851,19,0.8618
BEN,IEX,0.132666,20,0.8631
