Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
CMS,XEL,0.020636,1,0.9864
DUK,ED,0.028666,2,0.9748
ATO,CMS,0.056874,3,0.9769
AEE,DTE,0.058926,4,0.9684
AEP,DUK,0.065151,5,0.9781
DUK,SRE,0.067416,6,0.9331
FRT,REG,0.070365,7,0.979
CLX,KMB,0.071023,8,0.9658
ATO,ED,0.074527,9,0.9322
AEE,PNW,0.075385,10,0.9599
DUK,WEC,0.079638,11,0.9017
ESS,UDR,0.080182,12,0.9241
ED,SRE,0.080516,13,0.9385
AEP,SRE,0.082974,14,0.937
PCG,PNW,0.087144,15,0.9517
MAC,SPG,0.087919,16,0.9865
EIX,XEL,0.089643,17,0.97
ATO,XEL,0.090072,18,0.9642
ATO,EIX,0.091189,19,0.945
JKHY,MMM,0.092835,20,0.945
