Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
AIV,AVB,0.037114,1,0.9843,0.8586
DTE,WEC,0.037263,2,0.9741,0.9546
AEP,XEL,0.062405,3,0.9871,0.9551
CMS,WEC,0.064146,4,0.976,1.1108
AEP,DTE,0.066089,5,0.9447,0.9329
AEE,CMS,0.073922,6,0.9794,1.1389
ATO,EVRG,0.07914,7,0.9574,1.0531
AIV,CPT,0.081426,8,0.9568,0.8064
CPT,UDR,0.088851,9,0.9618,0.9246
ATO,EXC,0.089841,10,0.9689,0.9063
DTE,ES,0.090305,11,0.9387,0.993
AVB,MAA,0.094122,12,0.9643,0.8555
ES,XEL,0.094536,13,0.9277,0.8612
AEP,WEC,0.094592,14,0.93,0.9031
EQR,MAA,0.097317,15,0.9518,0.8845
ETR,LNT,0.098488,16,0.9373,0.8578
AEP,LNT,0.105429,17,0.9064,0.9373
DUK,PNW,0.108986,18,0.9438,0.9925
DTE,XEL,0.110983,19,0.9552,0.9401
FRT,REG,0.111325,20,0.9458,0.8207
