Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
CMS,LNT,0.138002,1,0.9636,0.8545
CPT,UDR,0.143808,2,0.9783,0.9894
C,KEY,0.153461,3,0.9933,0.9316
HBAN,USB,0.175691,4,0.9912,1.0687
ESS,UDR,0.18212,5,0.9771,1.113
AEP,KO,0.20377,6,0.9438,0.8045
DUK,EVRG,0.218127,7,0.9302,0.8226
BK,PPG,0.239571,8,0.9708,0.9545
AMT,CCI,0.240202,9,0.9579,0.8051
LIN,UNP,0.245169,10,0.9254,0.7662
CMS,DUK,0.248891,11,0.9077,0.8469
AIV,AVB,0.249221,12,0.9884,1.2155
EVRG,LNT,0.25566,13,0.9416,1.0078
AJG,AON,0.269112,14,0.9291,0.9112
CMS,EVRG,0.272372,15,0.9152,0.7503
MDLZ,PEP,0.273321,16,0.7938,0.8262
ARE,PEP,0.274015,17,0.8803,1.1755
DHR,TMO,0.274781,18,0.9162,0.9059
ATO,DUK,0.275268,19,0.8895,0.7937
EQR,ESS,0.283171,20,0.9762,0.9693
