Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
DOC,VTR,0.040178,1,0.99,1.0071
ED,SO,0.067865,2,0.9507,1.3498
CMS,DTE,0.071881,3,0.9704,0.9835
ESS,MAA,0.086375,4,0.8772,0.8413
D,DUK,0.086851,5,0.9128,0.7649
BDX,DHR,0.097803,6,0.9457,0.9262
DTE,PNW,0.117195,7,0.9497,0.9895
ARE,SLG,0.118146,8,0.8586,0.6572
CL,PEP,0.123029,9,0.9316,1.0587
ADP,GL,0.124623,10,0.9357,0.8744
D,LNT,0.12534,11,0.8973,0.8453
ATO,NEE,0.131571,12,0.9663,1.124
CL,DTE,0.131892,13,0.9442,0.8366
D,PEG,0.138013,14,0.8275,0.8023
ES,EVRG,0.139432,15,0.9016,0.9988
AJG,L,0.139956,16,0.8215,0.8505
CTAS,MRSH,0.145164,17,0.9299,1.0338
CNP,XEL,0.147945,18,0.832,0.9697
LNT,XEL,0.149921,19,0.8097,0.8707
PEP,PNW,0.151177,20,0.9354,0.7592
