Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
AEE,DTE,0.056879,1,0.9705
AVB,UDR,0.062257,2,0.9766
AEP,XEL,0.081964,3,0.988
AEE,ATO,0.083713,4,0.9659
HBAN,KEY,0.08725,5,0.9737
AIV,UDR,0.093997,6,0.9627
AIV,AVB,0.096385,7,0.9638
CMS,ES,0.099386,8,0.9857
AEE,ED,0.108625,9,0.9574
ATO,ED,0.112941,10,0.9533
CMS,EQR,0.117966,11,0.9752
DOC,EQR,0.120259,12,0.9742
CMS,XEL,0.120509,13,0.9862
AEP,CPT,0.122713,14,0.9688
CMS,LNT,0.124153,15,0.9914
ES,FE,0.130272,16,0.9824
MDLZ,WM,0.132815,17,0.9775
KEY,USB,0.143759,18,0.9491
AJG,AON,0.149878,19,0.9782
DTE,NI,0.160514,20,0.9058
