Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
CMS,FE,0.073796,1,0.925,0.9069
CNP,LNT,0.075054,2,0.9339,0.9229
CMS,DTE,0.106207,3,0.8982,0.7894
ED,NI,0.118281,4,0.8334,0.7983
AEP,XEL,0.127148,5,0.9324,1.0087
ETR,SRE,0.133647,6,0.8916,1.0856
FE,SRE,0.135469,7,0.8112,0.9546
CVX,XOM,0.136604,8,0.8686,0.8723
CNP,NI,0.139312,9,0.8855,0.8914
CMS,ETR,0.141284,10,0.8335,0.7867
DUK,SRE,0.142185,11,0.8066,0.8989
PPL,SRE,0.143859,12,0.9185,1.2704
CMS,SRE,0.15065,13,0.8114,0.9331
DUK,ETR,0.156623,14,0.8204,0.7538
KO,YUM,0.156981,15,0.8669,0.8655
CPT,MAA,0.1586,16,0.9688,0.9118
FE,PPL,0.164601,17,0.8874,0.7531
DTE,SRE,0.164781,18,0.8128,1.0607
ETR,FE,0.165964,19,0.8435,0.8808
ATO,CNP,0.167577,20,0.705,0.643
