Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
PG,WMT,0.037456,1,0.9018
CMS,DTE,0.046722,2,0.9872
CMS,ES,0.075651,3,0.97
KIM,XEL,0.076592,4,0.9658
CMS,XEL,0.079008,5,0.9874
ES,XEL,0.089836,6,0.9709
CMS,PPL,0.090255,7,0.9681
ES,WEC,0.094027,8,0.9631
DTE,LNT,0.095753,9,0.9802
DTE,WEC,0.097412,10,0.9641
ED,PNW,0.097457,11,0.8331
DTE,PPL,0.098647,12,0.9689
CMS,WEC,0.100633,13,0.9524
ESS,UDR,0.10563,14,0.9869
LNT,PPL,0.107259,15,0.9657
KO,PEP,0.108448,16,0.9038
LEG,PPL,0.110095,17,0.9529
FRT,SRE,0.110746,18,0.9712
CMS,LNT,0.113558,19,0.9837
EQR,UDR,0.114589,20,0.978
