Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
CMS,XEL,0.06366,1,0.9835,1.0357
AEP,XEL,0.086108,2,0.9728,0.9136
CMS,LNT,0.088805,3,0.9817,0.9184
AIV,UDR,0.089777,4,0.9146,0.8287
MDLZ,WM,0.109822,5,0.9524,0.8647
AEP,CMS,0.122536,6,0.967,0.8627
EQR,ESS,0.125378,7,0.9628,1.0472
AEP,LNT,0.127868,8,0.9792,0.8146
EVRG,LNT,0.130098,9,0.9799,0.9364
FE,LNT,0.132187,10,0.9703,1.0004
HBAN,RF,0.140678,11,0.9598,0.8077
LNT,XEL,0.141875,12,0.9682,1.0923
AVB,ED,0.143788,13,0.8653,0.8958
EVRG,XEL,0.149371,14,0.9767,1.0516
AVB,CPT,0.156323,15,0.9753,0.7893
ECL,MCD,0.158801,16,0.9091,0.847
AEE,ATO,0.159349,17,0.904,0.8316
ALL,LNT,0.166493,18,0.964,0.9756
AJG,NDAQ,0.1672,19,0.9654,0.911
CMS,FE,0.173234,20,0.9686,0.881
