Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
WEC,XEL,0.046788,1,0.983
ES,PNW,0.061584,2,0.9739
AEP,SO,0.064123,3,0.9573
ITW,MMM,0.06525,4,0.9427
KO,PEP,0.071662,5,0.9193
PNC,WFC,0.074565,6,0.9657
PRU,RF,0.078455,7,0.9784
AEE,ES,0.081406,8,0.9713
BXP,VNO,0.082588,9,0.9604
ES,SO,0.094754,10,0.9464
AEP,ES,0.099098,11,0.951
HON,MRSH,0.099508,12,0.8226
AEE,PNW,0.102251,13,0.9705
DTE,ES,0.108417,14,0.9539
DTE,PCG,0.113101,15,0.9224
FRT,REG,0.115165,16,0.9522
AIV,CPT,0.115396,17,0.8488
AEP,DTE,0.115688,18,0.9161
CTAS,DHR,0.116827,19,0.8867
CCI,JNJ,0.117099,20,0.814
