Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
DUK,XEL,0.041941,1,0.9726,0.9587
CMS,WEC,0.043593,2,0.9808,0.9736
AVB,UDR,0.086273,3,0.9195,1.0439
AEP,DUK,0.087009,4,0.9667,0.9737
NEE,PCG,0.096865,5,0.9576,0.8987
AEP,XEL,0.09973,6,0.9626,0.9564
KIM,REG,0.102327,7,0.9686,0.9461
ED,XEL,0.104147,8,0.9796,0.953
AON,MRSH,0.111496,9,0.978,0.9124
DUK,ED,0.111592,10,0.98,0.9932
DTE,PNW,0.113556,11,0.9633,0.956
ED,WEC,0.114798,12,0.9709,0.8474
BRK-B,HUBB,0.123188,13,0.9616,0.8651
EXPD,UPS,0.138469,14,0.9667,0.8076
CMS,PCG,0.14206,15,0.9505,0.8859
CMS,NEE,0.142283,16,0.9352,0.9323
CMS,ED,0.147732,17,0.9693,1.1024
ED,ETR,0.157801,18,0.9233,0.8148
NEE,WEC,0.160474,19,0.9211,0.9255
EIX,LNT,0.161139,20,0.9673,0.9427
