Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
EVRG,XEL,0.057587,1,0.9631
AVB,MAA,0.066915,2,0.9794
AEE,ED,0.072005,3,0.9229
ESS,MAA,0.073508,4,0.9768
CMS,DTE,0.080666,5,0.9774
DUK,SO,0.080876,6,0.9295
DTE,PNW,0.087942,7,0.9731
EQR,UDR,0.09837,8,0.9414
SO,XEL,0.1006,9,0.9657
AVB,ESS,0.108313,10,0.9826
DUK,XEL,0.110674,11,0.9284
AEE,SO,0.125589,12,0.8779
KMB,VZ,0.125717,13,0.9774
CMS,PNW,0.14304,14,0.954
ED,SO,0.14358,15,0.9208
HSY,KMB,0.149669,16,0.9722
PEP,XEL,0.154737,17,0.9125
BRK-B,CLX,0.15523,18,0.8993
CMS,NI,0.157354,19,0.9436
CL,DTE,0.158702,20,0.9636
