Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
D,EVRG,0.037416,1,0.9849,0.9355
ES,PNW,0.093296,2,0.9612,0.9424
PEG,XEL,0.0934,3,0.974,1.144
CMS,DTE,0.098896,4,0.9907,1.1317
WEC,XEL,0.104219,5,0.9618,1.1945
KO,XEL,0.117705,6,0.9102,0.9321
DUK,WEC,0.119337,7,0.948,0.8907
KO,MO,0.125286,8,0.9053,0.8893
AEE,PEG,0.125897,9,0.9346,1.0053
DTE,KMB,0.137106,10,0.9761,0.8475
DUK,XEL,0.139262,11,0.919,1.0732
CLX,CMS,0.13981,12,0.9691,0.9614
ES,LNT,0.140075,13,0.9616,0.8596
ADP,GL,0.143406,14,0.9817,0.8716
D,LNT,0.143695,15,0.9676,0.8762
AJG,GL,0.144716,16,0.9749,0.9689
PEG,WEC,0.146469,17,0.9278,0.8726
PSA,SPG,0.147971,18,0.9224,0.9924
PNW,REG,0.150055,19,0.9447,0.8811
CL,PNW,0.152495,20,0.9332,0.8624
