Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
ES,WEC,0.129239,1,0.9809
CLX,SO,0.177073,2,0.9475
LLY,WMT,0.184547,3,0.8581
ATO,PCG,0.206628,4,0.9384
EIX,SO,0.210807,5,0.912
ED,WEC,0.212867,6,0.965
PCG,XEL,0.217466,7,0.9453
D,MO,0.223106,8,0.9693
DUK,IBM,0.226073,9,0.9469
DUK,ED,0.228075,10,0.972
CLX,XEL,0.229179,11,0.9462
EVRG,WEC,0.238877,12,0.9856
EIX,ETR,0.250939,13,0.9335
AEE,ETR,0.265399,14,0.9394
DUK,JNJ,0.266425,15,0.95
CNP,PNW,0.267701,16,0.9881
MO,WM,0.268351,17,0.9667
MO,SYY,0.273551,18,0.9699
IBM,JNJ,0.277707,19,0.9512
EIX,JNJ,0.279758,20,0.9155
