Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
AEP,ED,0.035367,1,0.9731
AEP,XEL,0.036134,2,0.9759
ED,XEL,0.045241,3,0.9748
DTE,ED,0.049605,4,0.9734
DTE,LNT,0.053582,5,0.9675
DUK,PNW,0.055129,6,0.9674
AEP,LNT,0.055334,7,0.9796
AEE,WEC,0.065021,8,0.9649
CMS,DTE,0.068455,9,0.9696
ATO,DTE,0.070296,10,0.9249
AEP,WEC,0.07087,11,0.9425
AEP,DTE,0.072302,12,0.9751
ED,LNT,0.077242,13,0.948
CMS,LNT,0.077694,14,0.944
FITB,JPM,0.084716,15,0.9952
CMS,DUK,0.09025,16,0.9624
LNT,WEC,0.091071,17,0.9495
DTE,XEL,0.092588,18,0.9826
ATO,ED,0.094498,19,0.9107
JPM,PNC,0.094661,20,0.9912
