Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
CMS,WEC,0.050734,1,0.9945
DTE,PCG,0.053578,2,0.9894
AEE,XEL,0.061774,3,0.99
BK,NTRS,0.078319,4,0.9589
PNC,WFC,0.079439,5,0.9491
PNW,XEL,0.089522,6,0.9907
JPM,USB,0.097682,7,0.9379
ES,SO,0.102672,8,0.9744
MTB,TFC,0.106907,9,0.9222
LIN,ORCL,0.107046,10,0.9371
ED,XEL,0.110464,11,0.9819
AEE,PNW,0.112984,12,0.9881
PNW,WEC,0.113487,13,0.9902
ETR,NEE,0.125818,14,0.982
AEP,SO,0.126349,15,0.9874
FHN,TFC,0.12674,16,0.9388
AEP,PCG,0.129937,17,0.9774
AVB,UDR,0.136974,18,0.9303
AVB,EQR,0.140302,19,0.8813
AZO,ORLY,0.140709,20,0.9469
