Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
AIV,AVB,0.040618,1,0.9727,0.8753
ED,XEL,0.043897,2,0.9625,0.9687
AEP,DTE,0.06662,3,0.9592,1.094
DTE,XEL,0.068789,4,0.9597,0.8085
DTE,ES,0.073388,5,0.9118,0.896
AEE,LNT,0.081623,6,0.9289,1.0322
LNT,WEC,0.085066,7,0.9089,1.0361
EQR,UDR,0.094711,8,0.9571,1.1256
CMS,DTE,0.094988,9,0.893,0.9863
ED,ES,0.096125,10,0.9278,1.0881
AEP,CMS,0.099517,11,0.9213,0.9479
DUK,XEL,0.099641,12,0.9726,1.0924
AEP,WEC,0.103066,13,0.9458,1.1736
DUK,ED,0.105416,14,0.9456,1.0554
AEP,XEL,0.106027,15,0.977,0.9387
CMS,XEL,0.109783,16,0.9118,0.8539
FRT,VNO,0.109815,17,0.9141,0.8787
ES,XEL,0.110876,18,0.896,0.7691
DTE,ED,0.117247,19,0.9312,0.7807
FRT,REG,0.124502,20,0.9329,0.8157
