Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
AEP,ED,0.027752,1,0.9927
CMS,ES,0.028413,2,0.993
DUK,LNT,0.050199,3,0.9869
DUK,SRE,0.050314,4,0.9817
PNW,PPL,0.059208,5,0.9853
ED,LNT,0.062584,6,0.9846
CMS,PCG,0.063569,7,0.9786
DUK,WEC,0.064187,8,0.9761
ES,PCG,0.066106,9,0.9816
AEP,LNT,0.077026,10,0.9909
DTE,ES,0.078123,11,0.9787
ATO,XEL,0.080943,12,0.9861
DUK,ED,0.083496,13,0.9931
LNT,WEC,0.089326,14,0.9879
CMS,DTE,0.090512,15,0.9827
AJG,CPRT,0.097557,16,0.9702
SRE,WEC,0.101141,17,0.9613
EQR,KO,0.105382,18,0.9302
ETR,PEP,0.109578,19,0.9439
LNT,SRE,0.110069,20,0.9742
