Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
AEP,XEL,0.019554,1,0.996
CPT,MAA,0.052332,2,0.9742
AVB,EQR,0.064066,3,0.9844
CMS,WEC,0.064841,4,0.9938
FRT,MAA,0.074458,5,0.9663
CMS,FE,0.07721,6,0.9764
AEP,ETR,0.097298,7,0.9858
AIV,EQR,0.098084,8,0.9912
CPT,FRT,0.101653,9,0.9513
MCO,SPGI,0.101677,10,0.9711
AEP,ES,0.112957,11,0.9835
AEP,DTE,0.114764,12,0.9757
LNT,NEE,0.116811,13,0.9561
ETR,XEL,0.118227,14,0.9851
AIV,AVB,0.118315,15,0.9785
AEP,DUK,0.120135,16,0.9818
DUK,ES,0.120431,17,0.9814
AVB,RSG,0.120976,18,0.9693
DTE,DUK,0.128893,19,0.9616
DTE,PPL,0.129993,20,0.9628
