Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
AEP,XEL,0.023487,1,0.9937,0.9708
WEC,XEL,0.038254,2,0.9898,1.0252
AEP,WEC,0.049766,3,0.985,0.9294
AEP,DUK,0.057574,4,0.9893,1.0214
ETR,NEE,0.073333,5,0.9681,1.0092
AIV,AVB,0.094186,6,0.9703,1.0306
CPT,MAA,0.094719,7,0.9814,0.9268
DUK,XEL,0.108818,8,0.9812,0.9287
EQR,UDR,0.115181,9,0.9774,0.8851
DUK,WEC,0.115277,10,0.9724,0.8893
FRT,MAA,0.115498,11,0.9532,0.8533
EVRG,NEE,0.122789,12,0.9508,1.0649
PH,ROK,0.129099,13,0.9203,0.9719
LNT,NEE,0.131341,14,0.9454,0.897
CB,TRV,0.1377,15,0.8123,0.671
ATO,CMS,0.141068,16,0.9664,0.9029
DTE,DUK,0.144154,17,0.9514,0.9663
AFL,DHR,0.144673,18,0.8025,0.8189
CMS,NEE,0.145571,19,0.9765,1.2435
AVB,MAA,0.146656,20,0.9451,0.9844
