Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
DUK,LNT,0.022529,1,0.9881
ES,PNW,0.038375,2,0.9907
AEP,ED,0.042129,3,0.991
AEP,DUK,0.043247,4,0.9931
EIX,PCG,0.044625,5,0.9794
DUK,ED,0.054784,6,0.992
CMS,PCG,0.058806,7,0.9781
AEP,LNT,0.061598,8,0.9892
PCG,SRE,0.06307,9,0.9709
ED,LNT,0.064376,10,0.9863
ATO,XEL,0.068411,11,0.9862
DUK,PEP,0.076827,12,0.9721
ES,PPL,0.079658,13,0.9857
CMS,SRE,0.085,14,0.9697
CMS,ED,0.088072,15,0.9863
NEE,XEL,0.092823,16,0.9803
PEP,SRE,0.094458,17,0.9628
ED,SRE,0.094572,18,0.9694
ED,PEP,0.095093,19,0.9674
KO,WEC,0.099401,20,0.9326
