Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
ES,WEC,0.06644,1,0.9782
HBAN,PNC,0.076161,2,0.9814
BXP,SLG,0.076161,3,0.98
BRK-B,CB,0.081342,4,0.8774
ATO,NEE,0.085146,5,0.935
FITB,RF,0.088994,6,0.9298
DUK,FE,0.090145,7,0.9553
AEE,EVRG,0.097474,8,0.9575
AEP,LNT,0.099088,9,0.9656
EVRG,LNT,0.102976,10,0.9582
RJF,TFC,0.103951,11,0.9116
EIX,EVRG,0.105005,12,0.9525
BLK,ITW,0.105242,13,0.9447
FRT,REG,0.106144,14,0.9743
EIX,LNT,0.106231,15,0.9495
KEY,NTRS,0.106986,16,0.9578
AEE,EIX,0.10808,17,0.9423
AEE,DTE,0.110918,18,0.9513
CL,PEP,0.112386,19,0.7632
DTE,EVRG,0.112804,20,0.9605
