Ticker_A,Ticker_B,SSD,Hedge_Ratio,Rank,Mean_A,Std_A,Mean_B,Std_B
AVB,UDR,2.141261,0.9957,1,173.18368324400888,23.985907300093622,39.876026562282014,5.493230758102039
CPT,MAA,2.290073,0.9954,2,109.97303596375481,20.167324064014966,139.04549410986522,23.98833129479161
AVB,ESS,3.49938,0.993,3,173.18368324400888,23.985907300093622,250.74973418220642,31.35970867496679
ESS,UDR,3.636688,0.9927,4,250.74973418220642,31.35970867496679,39.876026562282014,5.493230758102039
EQR,ESS,4.007129,0.992,5,62.941669115944514,8.090747830079259,250.74973418220642,31.35970867496679
FRT,REG,4.030514,0.9919,6,90.80504341730996,11.653673881920696,50.884014114500985,7.653048680213651
NUE,STLD,4.87482,0.9902,7,81.7161635292901,21.47691351141218,51.082604060097346,10.399357376465943
MAA,NDAQ,5.227561,0.9895,8,139.04549410986522,23.98833129479161,52.88676043919155,8.273942263007196
DHR,WST,5.503955,0.989,9,231.48415889437237,32.84970402568522,348.9517211308555,64.4919547804682
MAA,UDR,5.645544,0.9887,10,139.04549410986522,23.98833129479161,39.876026562282014,5.493230758102039
AVB,MAA,5.699089,0.9886,11,173.18368324400888,23.985907300093622,139.04549410986522,23.98833129479161
EW,ISRG,5.705199,0.9886,12,99.62011867099338,13.707128779173518,296.4260049850222,40.133703195900864
CPT,NDAQ,5.740759,0.9885,13,109.97303596375481,20.167324064014966,52.88676043919155,8.273942263007196
AVB,EQR,5.891407,0.9882,14,173.18368324400888,23.985907300093622,62.941669115944514,8.090747830079259
BAC,SCHW,5.983332,0.988,15,34.70925568020533,4.7428211241237115,64.16977711329385,8.433537787348813
EQR,UDR,6.074993,0.9878,16,62.941669115944514,8.090747830079259,39.876026562282014,5.493230758102039
MCO,PSA,6.305315,0.9874,17,321.84338675604926,42.482216667530025,228.2492417835054,33.27875502736522
MRSH,RSG,6.540748,0.9869,18,127.88677781725687,18.074547795998864,103.76286343165806,13.680103350366153
IT,MSI,6.689056,0.9866,19,237.6822217911009,61.9821206246159,196.81518657623775,27.97513018469229
RF,TFC,7.024979,0.9859,20,16.78303755654229,1.953734151662478,45.023209420461505,3.971620921242721
